model      ,capacity  ,thickness (mm) ,width (mm) ,length (mm) ,voltage
LP1496107  ,1500 mAh  ,1.4            ,96         ,107         ,3.7V   
LP158098   ,1220 mAh  ,1.5            ,80         ,98          ,3.7V   
LP1510192  ,1700 mAh  ,1.5            ,101        ,92          ,3.7V   
LP188595   ,2050 mAh  ,1.8            ,85         ,95          ,3.7V   
LP189292   ,2000 mAh  ,1.8            ,92         ,92          ,3.7V   
LP1896142  ,3200 mAh  ,1.8            ,96         ,142         ,3.7V   
LP199084   ,2000 mAh  ,1.9            ,90         ,84          ,3.7V   
LP201570   ,140 mAh   ,2.0            ,15         ,70          ,3.7V   
LP202051   ,120 mAh   ,2.0            ,20         ,51          ,3.7V   
LP2165136  ,2300 mAh  ,2.1            ,65         ,136         ,3.7V   
LP23108130 ,4650 mAh  ,2.3            ,108        ,130         ,3.7V   
LP2390135  ,3800 mAh  ,2.3            ,90         ,135         ,3.7V   
LP245367   ,1000 mAh  ,2.4            ,53         ,67          ,3.7V   
LP246586   ,2000 mAh  ,2.4            ,65         ,86          ,3.7V   
LP246588   ,2100 mAh  ,2.4            ,65         ,88          ,3.7V   
LP2481119  ,3200 mAh  ,2.4            ,81         ,119         ,3.7V   
LP2492101  ,3200 mAh  ,2.4            ,92         ,101         ,3.7V   
LP25100115 ,4000 mAh  ,2.5            ,100        ,115         ,3.7V   
LP2558112  ,2400 mAh  ,2.5            ,58         ,112         ,3.7V   
LP255875   ,1500 mAh  ,2.5            ,58         ,75          ,3.7V   
LP256070   ,1200 mAh  ,2.5            ,60         ,70          ,3.7V   
LP256599   ,2100 mAh  ,2.5            ,65         ,99          ,3.7V   
LP258396   ,2880 mAh  ,2.5            ,83         ,96          ,3.7V   
LP266380   ,1650 mAh  ,2.6            ,63         ,80          ,3.7V   
LP2688127  ,3200 mAh  ,2.6            ,88         ,127         ,3.7V   
LP2766111  ,2800 mAh  ,2.7            ,66         ,111         ,3.7V   
LP278496   ,3520 mAh  ,2.7            ,84         ,96          ,3.7V   
LP284065   ,1000 mAh  ,2.8            ,40         ,65          ,3.7V   
LP2852145  ,3500 mAh  ,2.8            ,52         ,145         ,3.7V   
LP2858120  ,2400 mAh  ,2.8            ,58         ,120         ,3.7V   
LP2866103  ,2500 mAh  ,2.8            ,66         ,103         ,3.7V   
LP2868147  ,3700 mAh  ,2.8            ,68         ,147         ,3.7V   
LP2869121  ,3030 mAh  ,2.8            ,69         ,121         ,3.7V   
LP2898122  ,5020 mAh  ,2.8            ,98         ,122         ,3.7V   
LP2898125  ,5000 mAh  ,2.8            ,98         ,125         ,3.7V   
LP29100100 ,3500 mAh  ,2.9            ,100        ,100         ,3.7V   
LP2950138  ,4020 mAh  ,2.9            ,50         ,138         ,3.7V   
LP2952145  ,3500 mAh  ,2.9            ,52         ,145         ,3.7V   
LP295476   ,1500 mAh  ,2.9            ,54         ,76          ,3.7V   
LP295586   ,1850 mAh  ,2.9            ,55         ,86          ,3.7V   
LP2983122  ,4200 mAh  ,2.9            ,83         ,122         ,3.7V   
LP298645   ,1400 mAh  ,2.9            ,86         ,45          ,3.7V   
LP299097   ,4020 mAh  ,2.9            ,90         ,97          ,3.7V   
LP30100102 ,4000 mAh  ,3.0            ,100        ,102         ,3.7V   
LP30102125 ,5000 mAh  ,3.0            ,102        ,125         ,3.7V   
